instance,0,v_num,time,1,v_num,time,2,v_num,time,3,v_num,time,4,v_num,time,5,v_num,time,6,v_num,time,7,v_num,time,8,v_num,time,9,v_num,time,best,average,average_time
 Range_150/ins_50_3.txt,743.94,8,0.022,743.94,8,0.259,743.94,8,0.958,743.94,8,0.984,743.94,8,0.329,743.94,8,0.389,743.94,8,2.181,743.94,8,0.239,743.94,8,1.647,743.94,8,2.987,743.94,743.94,1
 Range_150/ins_100_1.txt,876.69,10,20.408,876.69,10,0.648,876.69,10,80.51,876.69,10,2.675,876.69,10,4.385,876.69,10,20.056,876.69,10,13.896,876.69,10,2.687,876.69,10,61.137,876.69,10,4.407,876.69,876.69,21.08
 Range_150/ins_100_2.txt,657.35,8,2.206,657.35,8,0.054,657.35,8,0.86,657.35,8,5.226,657.35,8,0.273,657.35,8,0.117,657.35,8,4.462,657.35,8,0.601,657.35,8,5.573,657.35,8,1.607,657.35,657.35,2.1
 Range_150/ins_100_3.txt,722.87,9,0.86,722.87,9,1.067,722.87,9,0.394,722.87,9,0.619,722.87,9,0.329,722.87,9,1.721,722.87,9,0.081,722.87,9,0.613,722.87,9,0.206,722.87,9,0.426,722.87,722.87,0.63
 Range_150/ins_200_1.txt,809.9,10,0.849,809.9,10,37.603,809.9,10,0.763,809.9,10,4.703,809.9,10,2.682,809.9,10,3.555,809.9,10,19.176,809.9,10,10.593,809.9,10,3.742,809.9,10,7.608,809.9,809.9,9.13
 Range_150/ins_200_2.txt,736.23,8,4.821,736.23,8,0.171,736.23,8,0.56,736.23,8,0.263,736.23,8,1.459,736.23,8,1.332,736.23,8,5.216,736.23,8,7.893,736.23,8,13.032,736.23,8,0.195,736.23,736.23,3.49
 Range_150/ins_200_3.txt,792.71,10,17.115,792.71,10,0.204,792.71,10,10.138,792.71,10,17.526,792.71,10,0.936,792.71,10,34.185,792.71,10,20.697,792.71,10,47.084,792.71,10,4.615,792.71,10,6.825,792.71,792.71,15.93
 Range_150/ins_300_1.txt,796.15,11,35.53,796.15,11,7.33,796.15,11,77.239,796.15,11,73.295,796.15,11,197.403,796.15,11,4.553,796.15,11,63.593,796.15,11,54.95,796.15,11,61.65,796.15,11,142.642,796.15,796.15,71.82
 Range_150/ins_300_2.txt,741.02,10,14.948,741.02,10,192.579,741.02,10,26.865,741.02,10,147.406,741.02,10,43.063,741.02,10,4.948,741.02,10,9.915,741.02,10,19.02,741.02,10,64.584,741.02,10,17.019,741.02,741.02,54.03
 Range_150/ins_300_3.txt,819.76,10,112.825,819.76,10,214.061,819.76,10,0.713,819.76,10,31.16,819.76,10,73.237,819.76,10,17.176,819.76,10,13.739,819.76,10,139.38,819.76,10,92.311,819.76,10,106.66,819.76,819.76,80.13
